group,n,PU_mean,PEOU_mean,PCE_mean,PIN_mean,GOAL_mean,PH_mean
Control,28,5.910714285714286,5.541666666666667,3.994047619047619,5.440476190476191,5.440476190476191,5.607142857142857
Treatment,29,6,5.103448275862069,4.097701149425287,5.287356321839081,5.091954022988506,5.241379310344827
