group,mgmt_experience,n,PH_mean,PU_mean,PEOU_mean,PCE_mean,PIN_mean
Control,2 - 3 years,4,5.25,5.958333333333333,5.958333333333333,3.875,5.75
Control,3 - 4 years,4,5,5.166666666666666,5.708333333333333,4.75,5.333333333333333
Control,5+ years,20,5.8,6.05,5.425,3.8666666666666667,5.4
Treatment,2 - 3 years,5,5.6,6.233333333333333,5.6,4.433333333333334,5.866666666666666
Treatment,3 - 4 years,4,5,5.958333333333333,4.416666666666667,4.416666666666667,5.25
Treatment,5+ years,20,5.2,5.95,5.116666666666666,3.95,5.15
