group,PH_score_mean,PH_score_sd,PU_score_mean,PU_score_sd,PEOU_score_mean,PEOU_score_sd,PCE_score_mean,PCE_score_sd,PIN_score_mean,PIN_score_sd,GOAL_score_mean,GOAL_score_sd
Control,5.607142857142857,1.0659471779799343,5.910714285714286,1.0662056708852499,5.541666666666667,1.0159479345721005,3.994047619047619,0.8660041898903847,5.440476190476191,1.1260242577501338,5.440476190476191,1.1001442906807544
Treatment,5.241379310344827,1.1543449723851775,6,0.7359800721939873,5.103448275862069,1.0122403577569514,4.097701149425287,0.7353290503308952,5.287356321839081,0.9203352474542212,5.091954022988506,1.1982015349871402
