group,n,PH_score_mean,PH_score_sd,PH_score_median,PU_score_mean,PU_score_sd,PU_score_median,PEOU_score_mean,PEOU_score_sd,PEOU_score_median,PCE_score_mean,PCE_score_sd,PCE_score_median,PIN_score_mean,PIN_score_sd,PIN_score_median
Control,28,5.607142857142857,1.0659471779799343,6,5.910714285714286,1.0662056708852499,6,5.541666666666667,1.0159479345721005,5.75,3.994047619047619,0.8660041898903847,3.8333333333333335,5.440476190476191,1.1260242577501338,5.666666666666667
Treatment,29,5.241379310344827,1.1543449723851775,5,6,0.7359800721939873,6.166666666666667,5.103448275862069,1.0122403577569514,5,4.097701149425287,0.7353290503308952,4,5.287356321839081,0.9203352474542212,5.333333333333333
