insight_number,mean_length,mean_words,completeness,n
insight1,85.16129032258064,15.709677419354838,1,31
insight2,92.58064516129032,16.677419354838708,1,31
insight3,83.83870967741936,14.806451612903226,1,31
insight4,83.83870967741936,15.161290322580646,1,31
insight5,94.25806451612904,17.548387096774192,1,31
