mgmt_experience,PH_score_mean,PH_score_sd,PH_score_n,PU_score_mean,PU_score_sd,PU_score_n,PEOU_score_mean,PEOU_score_sd,PEOU_score_n,PCE_score_mean,PCE_score_sd,PCE_score_n,PIN_score_mean,PIN_score_sd,PIN_score_n
2 - 3 years,5.5,1.2909944487358056,4,6.125,0.28463752127665565,4,5.375,1.2865040196566013,4,4.083333333333333,0.28867513459481264,4,5.833333333333333,0.4303314829119352,4
3 - 4 years,5,0.816496580927726,4,5.958333333333333,0.43832593994609736,4,4.416666666666667,0.7264831572567789,4,4.416666666666667,0.7515416254704823,4,5.25,0.6871842709362769,4
5+ years,5.2,1.2396943596157715,20,5.95,0.8517268320836371,20,5.116666666666666,0.9734787202160354,20,3.95,0.7010852072581888,20,5.15,1.017248898567812,20
