insight_number,n_words,n_chars,n_unique_words
insight1,15.709677419354838,85.16129032258064,31
insight2,16.677419354838708,92.58064516129032,31
insight3,14.806451612903226,83.83870967741936,31
insight4,15.161290322580646,83.83870967741936,31
insight5,17.548387096774192,94.25806451612904,31
