sex,PH_score_mean,PH_score_sd,PH_score_n,PU_score_mean,PU_score_sd,PU_score_n,PEOU_score_mean,PEOU_score_sd,PEOU_score_n,PCE_score_mean,PCE_score_sd,PCE_score_n,PIN_score_mean,PIN_score_sd,PIN_score_n
Female,5.181818181818182,1.0787197799411874,11,5.833333333333333,0.8850612031567836,11,4.7272727272727275,1.0548110080134085,11,4.196969696969697,0.5207803003303035,11,4.848484848484849,1.0683698523517693,11
Male,5.235294117647059,1.251469724199605,17,6.068627450980392,0.6375376446657979,17,5.264705882352941,0.9224417015781851,17,3.931372549019608,0.7431605356175384,17,5.529411764705882,0.7365349008232529,17
